,Drug_ID,Drug,Y,CanonSmiles,Molecule,StandSmiles
0,TOX3020,CCN1C(=O)NC(c2ccccc2)C1=O,0.0,CCN1C(=O)NC(c2ccccc2)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e1b0>,CCn1c(O)c(-c2ccccc2)[nH]c1=O
1,TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0.0,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e270>,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
2,TOX20800,CC(O)(P(=O)(O)O)P(=O)(O)O,0.0,CC(O)(P(=O)(O)O)P(=O)(O)O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e2d0>,CC(O)(P(=O)(O)O)P(=O)(O)O
3,TOX5110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.0,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e330>,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
4,TOX25232,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0.0,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e390>,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
5,TOX22514,OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0,OC[C@@H](O)[C@H](O)[C@@H](O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e3f0>,OC[C@@H](O)[C@H](O)[C@@H](O)CO
6,TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0.0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e450>,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
7,TOX6612,CC(C)COC(=O)C(C)C,0.0,CC(C)COC(=O)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e4b0>,CC(C)COC(=O)C(C)C
8,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0,C=C(C)C(=O)OCCOC(=O)C(=C)C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e510>,C=C(C)C(=O)OCCOC(=O)C(=C)C
9,TOX15748,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0.0,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e570>,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2
10,TOX14833,O=C([O-])Cc1cccc2ccccc12,0.0,O=C([O-])Cc1cccc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e5d0>,O=C(O)Cc1cccc2ccccc12
11,TOX26524,CCN(CC)C(=O)c1cccnc1,0.0,CCN(CC)C(=O)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e630>,CCN(CC)C(=O)c1cccnc1
12,TOX26525,COc1cc(O)cc(O)c1,0.0,COc1cc(O)cc(O)c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e690>,COc1cc(O)cc(O)c1
13,TOX26523,O=C(O)[C@H](O)c1ccccc1,0.0,O=C(O)[C@H](O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e6f0>,O=C(O)C(O)c1ccccc1
14,TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.0,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e750>,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
15,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0.0,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e7b0>,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2
16,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e810>,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
17,TOX4463,Nc1ccccc1S(=O)(=O)O,0.0,Nc1ccccc1S(=O)(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e870>,Nc1ccccc1S(=O)(=O)O
18,TOX1885,CC(O)CC(C)(C)O,0.0,CC(O)CC(C)(C)O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e8d0>,CC(O)CC(C)(C)O
19,TOX1886,CC(C)(C)CC(C)(C)N,0.0,CC(C)(C)CC(C)(C)N,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e930>,CC(C)(C)CC(C)(C)N
20,TOX1888,CCCC(C)=O,0.0,CCCC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e990>,CCCC(C)=O
21,TOX4465,Nc1nc2ccccc2[nH]1,0.0,Nc1nc2ccccc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52e9f0>,Nc1nc2ccccc2[nH]1
22,TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ea50>,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
23,TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,0.0,CNC(=O)Nc1ccc(Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52eab0>,CNC(=O)Nc1ccc(Cl)c(Cl)c1
24,TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,0.0,CC(=O)Nc1ccc(C)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52eb10>,CC(=O)Nc1ccc(C)c(Cl)c1
25,TOX22187,CCCCNC(=S)NCCCC,0.0,CCCCNC(=S)NCCCC,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52eb70>,CCCCNC(=S)NCCCC
26,TOX22189,CC(C)N(c1ccccc1)C(C)C,0.0,CC(C)N(c1ccccc1)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ebd0>,CC(C)N(c1ccccc1)C(C)C
27,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0.0,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ec30>,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1
28,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ec90>,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO
29,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,0.0,CCCCCCCCCCC=CC1CC(=O)OC1=O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ecf0>,CCCCCCCCCCC=Cc1cc(O)oc1O
30,TOX4113,CCOP(=S)(CC)Sc1ccccc1,0.0,CCOP(=S)(CC)Sc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ed50>,CCOP(=S)(CC)Sc1ccccc1
31,TOX27698,CC/C=C\CCCCO,0.0,CC/C=C\CCCCO,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52edb0>,CC/C=C\CCCCO
32,TOX10138,CC(=O)CCC(C)=O,0.0,CC(=O)CCC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ee10>,CC(=O)CCC(C)=O
33,TOX21464,N#CCCNCCC#N,0.0,N#CCCNCCC#N,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52ee70>,N#CCCNCCC#N
34,TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,0.0,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7fcf9e52eed0>,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)cc1
